gene	crak_gene	clade	subclade
MM.2017braw_75439924	CK_Syn_CC9902_00152	IV	IVa
MM.2017braw_187658064	CK_Syn_WH8016_00863	I	Ib
MM.2017braw_119585510	CK_Syn_CC9605_00108	II	IIc
MM.2017braw_89079351	CK_Syn_SYN20_00472	I	Ib
MM.2017braw_28537369	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_32481798	CK_Syn_WH8016_01744	I	Ib
MM.2017braw_75607222	CK_Syn_PROS-9-1_00120	I	Ib
MM.2017braw_78520486	MO_Syn_HBP1109_00139		
MM.2017braw_4754460	CK_Syn_RS9916_38157	IX	IX
MM.2017braw_30920858	CK_Syn_RS9907_00111	II	IIa
MM.2017braw_46684715	CK_Syn_KORDI-49_01210	WPC1	WPC1
MM.2017braw_77385899	MO_Syn_PH41509_01042		
MM.2017braw_9845706	CK_Syn_BL107_12765	IV	IVa
MM.2017braw_130819559	MO_Syn_PH41509_00876		
MM.2017braw_137191616	CK_Syn_TAK9802_01997	II	IIa
MM.2017braw_156216578	CK_Syn_A15-28_00134	III	IIIb
MM.2017braw_47771963	CK_Syn_PROS-U-1_00191	II	IIh
MM.2017braw_12765708	MO_Syn_PH41509_01790		
MM.2017braw_107153823	CK_Syn_MVIR-18-1_00443	I	Ib
MM.2017braw_139202201	CK_Syn_KORDI-49_26010	WPC1	WPC1
MM.2017braw_59027864	CK_Syn_NOUM97013_01490	VII	VIIb
MM.2017braw_15040732	CK_Syn_WH8101_01533	VIII	VIII
MM.2017braw_76709573	CK_Syn_PROS-U-1_00419	II	IIh
MM.2017braw_126921465	MO_Syn_HBP1109_00131		
MM.2017braw_17728624	CK_Syn_CC9311_02817	I	Ia
MM.2017braw_82172014	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_110801786	CK_Syn_KORDI-49_13390	WPC1	WPC1
MM.2017braw_126926267	CK_Syn_WH7805_10094	VI	VIa
MM.2017braw_105558695	CK_Syn_KORDI-52_27020	II	IIa
MM.2017braw_108552961	CK_Syn_KORDI-100_16230	UC-A	UC-A
MM.2017braw_2154974	CK_Syn_A15-62_01448	II	IIc
MM.2017braw_143689142	CK_Syn_A15-28_01357	III	IIIb
MM.2017braw_161348811	CK_Syn_A15-28_01357	III	IIIb
MM.2017braw_36946093	CK_Syn_CC9605_01408	II	IIc
MM.2017braw_200017012	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_7503159	CK_Syn_CB0205_10299	5.2	5.2A
MM.2017braw_143684763	CK_Syn_CC9902_02214	IV	IVa
MM.2017braw_2188943	MO_Syn_PH41509_00676		
MM.2017braw_26222445	CK_Syn_CC9605_02559	II	IIc
MM.2017braw_36995531	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_139717174	CK_Syn_SYN20_03170	I	Ib
MM.2017braw_161981349	CK_Syn_PROS-U-1_01964	II	IIh
MM.2017braw_67833466	CK_Syn_CC9311_00386	I	Ia
MM.2017braw_125949462	CK_Syn_MVIR-18-1_03000	I	Ib
MM.2017braw_36768097	CK_Syn_KORDI-100_09650	UC-A	UC-A
MM.2017braw_75584149	CK_Syn_RCC307_02031	5.3	5.3
MM.2017braw_46823545	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_112987557	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_24169097	CK_Syn_WH8020_03001	I	Ia
MM.2017braw_8183999	CK_Syn_PROS-9-1_00120	I	Ib
MM.2017braw_107115579	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_109523506	CK_Syn_PROS-U-1_00419	II	IIh
MM.2017braw_121860822	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_138037384	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_173900668	CK_Syn_A15-28_02394	III	IIIb
MM.2017braw_200161818	CK_Syn_RS9915_02111	III	IIIa
MM.2017braw_28720732	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_10690309	CK_Syn_KORDI-100_09650	UC-A	UC-A
MM.2017braw_151778214	MO_Syn_PH41509_02108		
MM.2017braw_52060102	CK_Syn_M16.1_01353	II	IIa
MM.2017braw_4639175	CK_Syn_KORDI-52_26680	II	IIa
MM.2017braw_146221411	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_92234654	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_178616718	CK_Syn_WH8101_01533	VIII	VIII
MM.2017braw_120625107	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_131214687	CK_Syn_M16.1_02482	II	IIa
MM.2017braw_140899451	CK_Syn_WH8016_02008	I	Ib
MM.2017braw_135057434	CK_Syn_PROS-9-1_00405	I	Ib
MM.2017braw_176648620	CK_Syn_A15-44_02245	II	IIa
MM.2017braw_194460704	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_142271549	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_175271184	CK_Syn_BL107_11911	IV	IVa
MM.2017braw_113047759	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_187612969	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_23952504	MO_Syn_HBP1109_00139		
MM.2017braw_110030657	CK_Syn_CC9902_02017	IV	IVa
MM.2017braw_152566401	CK_Syn_KORDI-100_13740	UC-A	UC-A
MM.2017braw_178150483	MO_Syn_PH41509_00876		
MM.2017braw_150564939	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_7347406	CK_Syn_BIOS-E4-1_04320	CRD1	CRD1b
MM.2017braw_117065583	CK_Syn_CC9605_00108	II	IIc
MM.2017braw_141176586	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_141179025	CK_Syn_PROS-U-1_01664	II	IIh
MM.2017braw_198226332	CK_Syn_RCC307_00112	5.3	5.3
MM.2017braw_53820476	CK_Syn_CC9605_02559	II	IIc
MM.2017braw_165144425	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_4649012	CK_Syn_WH8109_26319	II	IIa
MM.2017braw_146046356	CK_Syn_RS9907_02211	II	IIa
MM.2017braw_16256528	MO_Syn_PH41509_02126		
MM.2017braw_192489631	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_112818548	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_129742599	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_133504112	CK_Syn_KORDI-49_26010	WPC1	WPC1
MM.2017braw_109144841	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_124254130	CK_Syn_RS9902_00326	II	IIa
MM.2017braw_87763787	CK_Syn_CC9311_00386	I	Ia
MM.2017braw_58118241	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_79351557	CK_Syn_RCC307_02516	5.3	5.3
MM.2017braw_84520805	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_131817855	CK_Syn_A15-44_02180	II	IIa
MM.2017braw_138159478	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_145172877	CK_Syn_NOUM97013_00144	VII	VIIb
MM.2017braw_188157043	CK_Syn_KORDI-100_16230	UC-A	UC-A
MM.2017braw_93725098	CK_Syn_RCC307_02165	5.3	5.3
MM.2017braw_118717202	CK_Syn_WH8103_02896	III	IIIa
MM.2017braw_183370076	CK_Syn_KORDI-49_27020	WPC1	WPC1
MM.2017braw_187553952	CK_Syn_CC9902_01078	IV	IVa
MM.2017braw_111680549	MO_Syn_PH41509_02350		
MM.2017braw_117468352	CK_Syn_ROS8604_00893	I	Ib
MM.2017braw_119365205	CK_Syn_PROS-U-1_00419	II	IIh
MM.2017braw_178699304	CK_Syn_KORDI-49_12600	WPC1	WPC1
MM.2017braw_108696627	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_185345456	CK_Syn_PROS-9-1_00933	I	Ib
MM.2017braw_64159614	CK_Syn_SYN20_01147	I	Ib
MM.2017braw_9064788	CK_Syn_RCC307_01366	5.3	5.3
MM.2017braw_43283298	CK_Syn_RS9916_37432	IX	IX
MM.2017braw_98344840	CK_Syn_RCC307_01511	5.3	5.3
MM.2017braw_158734244	CK_Syn_KORDI-100_13740	UC-A	UC-A
MM.2017braw_119662600	CK_Syn_WH7805_13868	VI	VIa
MM.2017braw_142586468	CK_Syn_KORDI-49_06830	WPC1	WPC1
MM.2017braw_175531571	CK_Syn_RS9902_01881	II	IIa
MM.2017braw_196625270	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_28572953	CK_Syn_CC9311_02920	I	Ia
MM.2017braw_94416913	CK_Syn_SYN20_03170	I	Ib
MM.2017braw_115485386	CK_Syn_CC9902_02017	IV	IVa
MM.2017braw_69997451	CK_Syn_BL107_12275	IV	IVa
MM.2017braw_7752124	CK_Syn_PROS-U-1_03066	II	IIh
MM.2017braw_122351289	CK_Syn_WH7805_01412	VI	VIa
MM.2017braw_13042710	CK_Syn_TAK9802_00463	II	IIa
MM.2017braw_112184221	CK_Syn_CC9616_01447	EnvC	EnvC
MM.2017braw_145932106	CK_Syn_CC9616_01766	EnvC	EnvC
MM.2017braw_77384633	CK_Syn_BL107_15230	IV	IVa
MM.2017braw_84459949	CK_Syn_A15-24_00772	III	IIIa
MM.2017braw_114486426	CK_Syn_NOUM97013_02887	VII	VIIb
MM.2017braw_15833167	CK_Syn_A15-62_00646	II	IIc
MM.2017braw_37924194	CK_Syn_PROS-U-1_01767	II	IIh
MM.2017braw_58779860	CK_Syn_KORDI-52_16820	II	IIa
MM.2017braw_98882438	CK_Syn_CC9616_01033	EnvC	EnvC
MM.2017braw_109589934	CK_Syn_KORDI-49_26010	WPC1	WPC1
MM.2017braw_95712877	CK_Syn_RCC307_01361	5.3	5.3
MM.2017braw_168617779	CK_Syn_PROS-9-1_01490	I	Ib
MM.2017braw_89546101	CK_Syn_BIOS-E4-1_01371	CRD1	CRD1b
MM.2017braw_126425741	CK_Syn_SYN20_02640	I	Ib
MM.2017braw_13170991	CK_Syn_A15-62_01179	II	IIc
MM.2017braw_2836529	CK_Syn_RS9916_33202	IX	IX
MM.2017braw_68938487	CK_Syn_BL107_08369	IV	IVa
MM.2017braw_106356665	CK_Syn_CC9616_00445	EnvC	EnvC
MM.2017braw_115396285	CK_Syn_WH8102_01018	III	IIIa
MM.2017braw_171667029	CK_Syn_PROS-9-1_02063	I	Ib
MM.2017braw_191182296	CK_Syn_CC9902_02017	IV	IVa
MM.2017braw_36938510	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_4642184	CK_Syn_A15-127_00381	WPC1	WPC1
MM.2017braw_99976723	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_122352501	CK_Syn_WH7805_13513	VI	VIa
MM.2017braw_158516481	CK_Syn_WH7805_01957	VI	VIa
MM.2017braw_44255434	CK_Syn_TAK9802_01533	II	IIa
MM.2017braw_47757827	MO_Syn_PH41509_01574		
MM.2017braw_6585260	CK_Syn_KORDI-49_06120	WPC1	WPC1
MM.2017braw_114280882	CK_Syn_RCC307_02411	5.3	5.3
MM.2017braw_133579697	CK_Syn_RCC307_01362	5.3	5.3
MM.2017braw_147651351	CK_Syn_RS9902_00111	II	IIa
MM.2017braw_1790803	CK_Syn_CC9902_01761	IV	IVa
MM.2017braw_19657368	CK_Syn_CB0205_12240	5.2	5.2A
MM.2017braw_85648665	CK_Syn_CC9311_02631	I	Ia
MM.2017braw_154581454	CK_Syn_A15-28_00741	III	IIIb
MM.2017braw_31897033	CK_Syn_CC9311_01545	I	Ia
MM.2017braw_45877011	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_95534396	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_106043008	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_114499541	CK_Syn_A18-40_02083	III	IIIa
MM.2017braw_99152748	CK_Syn_WH7805_06106	VI	VIa
MM.2017braw_72989047	CK_Syn_BMK-MC-1_03135	V	V
MM.2017braw_96231647	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_153065023	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_168982613	CK_Syn_KORDI-49_26500	WPC1	WPC1
MM.2017braw_63651121	MO_Syn_PH41509_02126		
MM.2017braw_113839287	CK_Syn_KORDI-100_09650	UC-A	UC-A
MM.2017braw_171328432	CK_Syn_A15-127_01528	WPC1	WPC1
MM.2017braw_195982591	CK_Syn_KORDI-52_27470	II	IIa
MM.2017braw_63692825	CK_Syn_KORDI-52_11190	II	IIa
MM.2017braw_92423669	MO_Syn_PH41509_02108		
MM.2017braw_10601675	CK_Syn_RCC307_00112	5.3	5.3
MM.2017braw_32706198	CK_Syn_CB0205_02227	5.2	5.2A
MM.2017braw_34099312	CK_Syn_WH8020_00339	I	Ia
MM.2017braw_59100037	CK_Syn_RS9916_28369	IX	IX
MM.2017braw_90283296	CK_Syn_MVIR-18-1_01902	I	Ib
MM.2017braw_116636491	CK_Syn_BL107_12275	IV	IVa
MM.2017braw_182553645	CK_Syn_CC9605_02620	II	IIc
MM.2017braw_70521149	MO_Syn_PH41509_01261		
MM.2017braw_91106032	CK_Syn_MVIR-18-1_01532	I	Ib
MM.2017braw_134513965	CK_Syn_CC9616_00418	EnvC	EnvC
MM.2017braw_188519926	CK_Syn_KORDI-52_17190	II	IIa
MM.2017braw_142796047	CK_Syn_RS9907_00310	II	IIa
MM.2017braw_153023598	CK_Syn_M16.1_00315	II	IIa
MM.2017braw_21406038	CK_Syn_MVIR-18-1_01629	I	Ib
MM.2017braw_56494534	CK_Syn_WH8020_01544	I	Ia
MM.2017braw_73212136	MO_Syn_PH41509_01676		
MM.2017braw_82589693	CK_Syn_TAK9802_01043	II	IIa
MM.2017braw_122352870	CK_Syn_A15-28_02000	III	IIIb
MM.2017braw_141927516	CK_Syn_MVIR-18-1_00443	I	Ib
MM.2017braw_42074397	CK_Syn_RS9902_02897	II	IIa
MM.2017braw_162413716	MO_Syn_PH41509_00676		
MM.2017braw_45730874	CK_Syn_CC9902_02214	IV	IVa
MM.2017braw_53784291	CK_Syn_MINOS11_01763	5.3	5.3
MM.2017braw_109486601	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_92569681	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_136315578	CK_Syn_WH7805_07351	VI	VIa
MM.2017braw_16156520	CK_Syn_TAK9802_01189	II	IIa
MM.2017braw_187743484	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_196838380	CK_Syn_RCC307_01633	5.3	5.3
MM.2017braw_107790906	CK_Cya_NS01_01548	5.2	5.2B
MM.2017braw_145463107	CK_Syn_SYN20_01804	I	Ib
MM.2017braw_153041474	CK_Syn_KORDI-49_13390	WPC1	WPC1
MM.2017braw_3094160	CK_Syn_A15-127_01718	WPC1	WPC1
MM.2017braw_75367973	CK_Syn_ROS8604_03699	I	Ib
MM.2017braw_77837918	CK_Syn_BL107_06034	IV	IVa
MM.2017braw_99310210	CK_Syn_RS9915_02236	III	IIIa
MM.2017braw_129581007	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_105536551	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_136073258	CK_Syn_MITS9220_00121	CRD1	CRD1a
MM.2017braw_16472363	CK_Syn_A15-127_00593	WPC1	WPC1
MM.2017braw_191304374	CK_Syn_A15-62_02726	II	IIc
MM.2017braw_97262507	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_56462762	CK_Syn_SYN20_01865	I	Ib
MM.2017braw_65194466	CK_Syn_WH8020_02995	I	Ia
MM.2017braw_113035223	CK_Syn_KORDI-52_11540	II	IIa
MM.2017braw_135387624	CK_Syn_RCC307_02186	5.3	5.3
MM.2017braw_196538008	CK_Syn_A15-28_00741	III	IIIb
MM.2017braw_54442055	CK_Syn_BL107_13335	IV	IVa
MM.2017braw_12999114	CK_Syn_CB0205_11466	5.2	5.2A
MM.2017braw_141105888	CK_Syn_WH7805_04171	VI	VIa
MM.2017braw_14796515	CK_Syn_WH8020_00964	I	Ia
MM.2017braw_164567539	CK_Syn_KORDI-52_11190	II	IIa
MM.2017braw_52064995	CK_Syn_KORDI-52_14790	II	IIa
MM.2017braw_119648470	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_195894418	CK_Syn_WH8020_01849	I	Ia
MM.2017braw_85265237	CK_Syn_RCC307_01614	5.3	5.3
MM.2017braw_122109159	CK_Syn_RS9915_02489	III	IIIa
MM.2017braw_131367030	CK_Syn_KORDI-100_13740	UC-A	UC-A
MM.2017braw_152484615	CK_Syn_MITS9220_00121	CRD1	CRD1a
MM.2017braw_167769366	CK_Syn_WH8103_01421	III	IIIa
MM.2017braw_197612338	CK_Syn_RCC307_00112	5.3	5.3
MM.2017braw_144746453	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_152244377	CK_Syn_A15-28_01432	III	IIIb
MM.2017braw_4561084	CK_Syn_WH8016_01744	I	Ib
MM.2017braw_67274798	CK_Syn_CC9902_02017	IV	IVa
MM.2017braw_71296703	CK_Syn_ROS8604_03657	I	Ib
MM.2017braw_32178032	CK_Syn_RS9916_31742	IX	IX
MM.2017braw_70769152	CK_Syn_BL107_07169	IV	IVa
MM.2017braw_99300448	CK_Syn_WH8109_00330	II	IIa
MM.2017braw_128589263	CK_Syn_KORDI-49_12600	WPC1	WPC1
MM.2017braw_135527464	CK_Syn_PROS-U-1_01527	II	IIh
MM.2017braw_82152685	CK_Syn_RCC307_01614	5.3	5.3
MM.2017braw_87045486	CK_Syn_KORDI-100_13740	UC-A	UC-A
MM.2017braw_102932004	CK_Syn_ROS8604_00600	I	Ib
MM.2017braw_136282416	CK_Syn_CC9902_01010	IV	IVa
MM.2017braw_27568658	CK_Syn_CC9311_02817	I	Ia
MM.2017braw_67895485	CK_Syn_CC9902_02017	IV	IVa
MM.2017braw_117807544	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_122355943	CK_Syn_WH7805_07941	VI	VIa
MM.2017braw_165421720	CK_Syn_CC9605_01604	II	IIc
MM.2017braw_157255396	CK_Syn_CC9605_01408	II	IIc
MM.2017braw_197768736	CK_Syn_TAK9802_01997	II	IIa
MM.2017braw_141693600	CK_Syn_RS9907_02921	II	IIa
MM.2017braw_154181931	CK_Syn_MINOS11_01555	5.3	5.3
MM.2017braw_154954336	CK_Syn_BIOS-E4-1_01371	CRD1	CRD1b
MM.2017braw_69062536	CK_Syn_BL107_11911	IV	IVa
MM.2017braw_9295613	CK_Syn_KORDI-49_02160	WPC1	WPC1
MM.2017braw_114499336	CK_Syn_WH8102_01170	III	IIIa
MM.2017braw_149868078	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_34591987	CK_Syn_RCC307_00664	5.3	5.3
MM.2017braw_123909600	CK_Syn_NOUM97013_02887	VII	VIIb
MM.2017braw_135758694	CK_Syn_CC9616_01460	EnvC	EnvC
MM.2017braw_198547549	CK_Syn_TAK9802_01004	II	IIa
MM.2017braw_11966907	CK_Syn_WH8020_01751	I	Ia
MM.2017braw_136289246	CK_Syn_A15-62_02103	II	IIc
MM.2017braw_179369014	CK_Syn_KORDI-100_18710	UC-A	UC-A
MM.2017braw_53489742	CK_Syn_WH8016_00095	I	Ib
MM.2017braw_97520828	CK_Syn_BL107_12275	IV	IVa
MM.2017braw_142606783	CK_Syn_KORDI-100_29180	UC-A	UC-A
MM.2017braw_156724218	CK_Syn_CC9605_02559	II	IIc
MM.2017braw_176523170	CK_Syn_WH8020_00964	I	Ia
MM.2017braw_62918403	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_8003611	CK_Syn_WH8020_03003	I	Ia
MM.2017braw_83545937	CK_Syn_A15-127_01363	WPC1	WPC1
MM.2017braw_88011850	CK_Syn_PROS-9-1_00120	I	Ib
MM.2017braw_112870310	CK_Syn_BL107_08369	IV	IVa
MM.2017braw_141088611	CK_Syn_CC9605_01294	II	IIc
MM.2017braw_87543725	CK_Syn_CC9311_02119	I	Ia
MM.2017braw_198647513	CK_Syn_ROS8604_03657	I	Ib
MM.2017braw_59264721	CK_Syn_RCC307_02165	5.3	5.3
MM.2017braw_110735026	CK_Syn_PROS-U-1_01356	II	IIh
MM.2017braw_119225946	CK_Syn_BL107_09776	IV	IVa
MM.2017braw_13232837	CK_Syn_RS9916_30389	IX	IX
MM.2017braw_182955855	CK_Syn_A15-28_00134	III	IIIb
MM.2017braw_194554341	CK_Syn_BMK-MC-1_03026	V	V
MM.2017braw_101760210	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_131824038	CK_Syn_KORDI-49_14550	WPC1	WPC1
MM.2017braw_137229419	CK_Syn_PROS-9-1_01490	I	Ib
MM.2017braw_171165273	CK_Syn_CC9616_01549	EnvC	EnvC
MM.2017braw_172506451	CK_Syn_PROS-U-1_31128	II	IIh
MM.2017braw_76459335	CK_Syn_MVIR-18-1_01671	I	Ib
MM.2017braw_118993341	CK_Syn_BIOS-U3-1_00154	CRD1	CRD1a
MM.2017braw_163597118	CK_Syn_WH8109_01056	II	IIa
MM.2017braw_167171854	CK_Syn_MEDNS5_00120	VI	VIa
MM.2017braw_70316500	CK_Syn_KORDI-52_26960	II	IIa
MM.2017braw_96727098	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_152982527	CK_Syn_RS9907_01782	II	IIa
MM.2017braw_61954851	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_102720253	MO_Syn_HBA1120_01962		
MM.2017braw_147867131	CK_Syn_A15-62_01661	II	IIc
MM.2017braw_162413164	CK_Syn_CC9605_01578	II	IIc
MM.2017braw_183337646	CK_Syn_A18-40_01082	III	IIIa
MM.2017braw_99796560	CK_Syn_RS9907_00192	II	IIa
MM.2017braw_117495077	CK_Syn_PROS-9-1_01694	I	Ib
MM.2017braw_18182218	MO_Syn_PH41509_02126		
MM.2017braw_196911173	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_45407793	CK_Syn_CC9616_01793	EnvC	EnvC
MM.2017braw_81247378	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_82767083	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_86719387	CK_Syn_MINOS11_02644	5.3	5.3
MM.2017braw_53086757	CK_Syn_CC9902_00702	IV	IVa
MM.2017braw_80993180	CK_Syn_CC9311_00634	I	Ia
MM.2017braw_110249732	CK_Syn_CC9902_00702	IV	IVa
MM.2017braw_16335968	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_196935054	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_40942682	CK_Syn_RS9907_00310	II	IIa
MM.2017braw_100960921	CK_Syn_PROS-9-1_02841	I	Ib
MM.2017braw_120140749	CK_Syn_WH8020_01849	I	Ia
MM.2017braw_165417388	CK_Syn_BIOS-E4-1_00172	CRD1	CRD1b
MM.2017braw_166272057	CK_Syn_RS9916_37432	IX	IX
MM.2017braw_199532165	CK_Syn_A15-28_01357	III	IIIb
MM.2017braw_41123645	CK_Syn_TAK9802_00627	II	IIa
MM.2017braw_57887130	CK_Syn_MINOS11_00231	5.3	5.3
MM.2017braw_77641009	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_51048600	CK_Syn_RS9907_01172	II	IIa
MM.2017braw_70374015	CK_Syn_MINOS11_01763	5.3	5.3
MM.2017braw_88445047	CK_Syn_RS9907_01570	II	IIa
MM.2017braw_120529105	CK_Syn_WH8103_00811	III	IIIa
MM.2017braw_130350284	CK_Syn_A15-28_01980	III	IIIb
MM.2017braw_175011716	CK_Syn_RS9915_01636	III	IIIa
MM.2017braw_70259169	CK_Syn_CC9902_01363	IV	IVa
MM.2017braw_116579946	CK_Syn_PROS-9-1_00405	I	Ib
MM.2017braw_141744899	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_51924177	CK_Syn_CC9902_00152	IV	IVa
MM.2017braw_57684970	CK_Syn_WH8020_02995	I	Ia
MM.2017braw_161663260	CK_Syn_CC9605_01603	II	IIc
MM.2017braw_173577131	CK_Syn_A15-62_01180	II	IIc
MM.2017braw_135798119	CK_Syn_RS9907_01254	II	IIa
MM.2017braw_1890721	CK_Syn_WH8109_00201	II	IIa
MM.2017braw_24124480	CK_Syn_BL107_05464	IV	IVa
MM.2017braw_6643061	CK_Syn_A15-44_00200	II	IIa
MM.2017braw_87849342	CK_Syn_PROS-9-1_02788	I	Ib
MM.2017braw_67074685	CK_Syn_SYN20_03170	I	Ib
MM.2017braw_113877688	CK_Syn_CC9311_00386	I	Ia
MM.2017braw_120937276	CK_Syn_RCC307_01634	5.3	5.3
MM.2017braw_195188886	CK_Syn_NOUM97013_00144	VII	VIIb
MM.2017braw_36554880	CK_Syn_M16.1_00127	II	IIa
MM.2017braw_143647665	CK_Syn_KORDI-49_13350	WPC1	WPC1
MM.2017braw_172881823	CK_Syn_A15-24_01966	III	IIIa
MM.2017braw_190242228	CK_Syn_MINOS11_01458	5.3	5.3
MM.2017braw_198134554	CK_Syn_WH7805_06106	VI	VIa
MM.2017braw_61243046	CK_Syn_KORDI-52_06000	II	IIa
MM.2017braw_130356022	CK_Syn_BMK-MC-1_03135	V	V
MM.2017braw_133412460	MO_Syn_PH41509_00676		
MM.2017braw_133739434	CK_Syn_MINOS11_01731	5.3	5.3
MM.2017braw_140742210	CK_Syn_CC9605_01488	II	IIc
MM.2017braw_166853209	CK_Syn_CC9311_02811	I	Ia
MM.2017braw_199522066	CK_Syn_A18-40_02159	III	IIIa
MM.2017braw_116970070	CK_Syn_SYN20_00756	I	Ib
MM.2017braw_13266220	CK_Syn_CC9311_02819	I	Ia
MM.2017braw_57592918	CK_Syn_SYN20_01804	I	Ib
MM.2017braw_112954998	CK_Syn_RCC307_01374	5.3	5.3
MM.2017braw_179295822	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_4975070	CK_Syn_RCC307_01649	5.3	5.3
MM.2017braw_43294459	CK_Syn_A15-44_00330	II	IIa
